	pid	text	explanation	target_of_sarcasm
0	931874353976938497	'check out the pulse pounding excitement of # paxunplugged of waiting in line <num> hours before game sign up begins . waiting in line , what a gaming convention is all about . '	the people are bored of waiting in line <num> hours before game sign up begins.	waiting in line 
1	880425829246922752	'proud to have a <user> who attacks private citizens via twitter instead of doing hard work on health care , nat sec the job requires '	it's sad to have a <user> who attacks private citizens via twitter instead of doing hard work on health care, nat sec the job requires.	<user> for attacking citizens via twitter
2	690915881082343424	'the view from my house ........ yay  # pasnow # blizzard2016'	the author has a terrible view of everything covered with snow from his house.	blizzard
3	915228456757059585	'these # colombo # jaffna # vavuniya luxury busses are very high tech  # cultureshock # turkishairlines'	these # colombo # jaffna # vavuniya luxury busses aren't very high tech.	technology in vavuniya luxury busses
4	494194068998468686_25639236	Thanks North Carolina, I was worried we weren't gonna hit traffic	the author was worried that they were gonna hit traffic in North Carolina and it turned out to be true.	traffic in north carolina
5	847004394612776965	'junk mail : free viagra . stripper wants to meet me . and , someone will send me 100k if i give them my account number . score ! # japan '	the author is annoyed with such junk mail.	junk mail
6	886345583052681217	'god awful venue . terrible view . '	it's a beautiful venue and lovely view.	beautiful view of venue
7	852753018558623745	'kids : - take selfie from mobiles adults : - take selfie from dslr legends : - take selfie from landline # amitabhbachchan # trending '	one can't take a selfie from a landline.	taking selfie from landline
8	879809878113603586	i hope england isn 't too rainy , or anything ...  emoji_131 emoji_15	england is too rainy.	england's rainy weather
9	884143989342916609	"'your persistence has paid off , i am "" woke "" , the earth is flat ! ! ! '"	their persistence hasn't paid off, the author doesn't believe that the earth is flat.	post saying earth is flat
10	806951240773025792	'so helpful at building the puzzle .  # illjustdoitalone # frozen # littlehelpers # toddlers'	these toddlers aren't helpful at building the puzzle.	toddlers help at building the puzzle
11	709046988462014464	'moving is so much fun  # intended'	moving is exhausting and not fun.	difficulty in moving
12	693187562681143296	i can 't believe this . i was so sure she was always honest and trustworthy 	the author expected this since she wasn't sure that clinton was always honest and trustworthy.	honesty and trusworthiness of clinton
13	865338439633260544	'some people have no concept of common sense . great priorities though !  # wwyptoti # facepalmfriday <user>'	it's a wrong priority to status update than to call police when someone is trying to break in.	person updating status while robbery
14	882284909083185153	'hey <user> thanks for making it easy for me to take my music with me .  # ihateyourupdates'	the author hates <user>'s updates since they make it difficult for her to take her music with her.	<user>'s updates
15	713905030516985856	'such a big turn out in a state of 7million wowzy 16000 people will surely get him elected '	in a state of 7 million, 16000 people is a very low turn out.	low turn out for election
16	691712999518773248	'sport is good for you they say ... # pe # soccer # tackle # knee '	the author has injured his leg playing sports.	author's injury
17	852193638641741828	it 's such a shame it 's a terrible day . maybe when it 's beautiful out my driveway will get fixed  # cityofjonesboro # thanksyall emoji_156	it's a beautiful day and still the author's driveway isn't getting fixed.	author's driveway not being fixed
18	689033889923219456	'our very own einstein ...  # indiancongress'	he said steve jobs' of microsoft instead of apple, he isn't very bright.	rahul gandhi's intelligence
19	910531588118560768	'new # airteldsl technology upgrade package provided 810gb for <num> months <user> for being a loyal customer for all these years . '	it's sad that airteldsl technology upgrade package provided just 810gb for <num> months even after being a loyal customer for all these years.	airteldsl technology's upgrade package providing less data
20	874428307001008134	"'aww  this is so romantic ! what a great way to start off a "" modern fairytale "" ! '"	"this isn't so romantic, it's a terrible way to start off a ""modern fairytale""."	man's sexist comments
21	847570526302334976	'hats off to the american <user> for highlighting the weather in the metropolis of cape st . george ! # nlwx '	there's no need for the american <user> to highlight the weather in the metropolis of cape st. george.	<user> highlighting the weather in metropolis of cape st george
22	822097672622444544	<user> nice job guys ! can 't wait to open my package and reassemble my glass . # thanksfortheglasspuzzle 	the author is pissed at <user> for such a package with broken glass.	<user>'s bad delivery
23	731266833140056065	'this would look fantastic in the program book i think . shows a lot of depth and substance . '	this would definitely not look good in the program book, does not have any depth or substance	sentence not having depth or substance
24	820837997609617466_352689	So excited to be back #soton #renalphysiology	the author isn't excited to be back for renal physiology.	author's excitement for renal physiology
25	854870849802784768	yup . that 's a 15inch receipt for a 6pk of eggs . <user> doing their part for the environment  # keeptahoeblue # allthepaper	<user> isn't doing their part for the environment since they are wasting paper by giving a 15inch receipt for a 6pk of eggs.	<user> for wasting paper
26	706246124890357761	'reminder : this looks like a legitimate email , really must reply ;-)  # phishing'	This is a phishing email, one must not reply to it	phishing email
27	831377442250055680	'<user> real quality product  # areyouserious emoji_60'	this is a terrible quality product from <user>	quality of the product
28	589208922845607906_209903324	Oh I just #love having to stare at this while I #work. #iwanttogo #disneyland #disney #anaheim	the author wants to go to the disneyland and not just stare at it while working.	author wanting to go to disneyland
29	696505904536162304	'thanks <user> for slipping a # millerlite into our case of the # silverbullets really '	the author is pissed at <user> for slipping a millerlite into their case of the silverbullets.	<user> slipping a millerlite into the case of the silverbullets
30	833203062269472768	'what i plan on saying to anyone that rings my doorbell . # ahs # americanhorrorstory # quote  # itsfunnydammit'	this isn't how one treats another human being let alone anyone that rings one's doorbell.	harsh words in the quote
31	826055705689980929	'this is why i wanted to be a mom ... # bouncebackwoman '	this isn't why i wanted to be a mom, i didn't want to become the maid of the house.	mom being the maid of the house
32	867720903291011075	'you just have to love the intelligent & cogent discourse on current geo-political events that happens on twitter . '	the author hates the stupid & unconvincing discourse on current geo-political events that happens on twitter.	quality of discourse on twitter
33	917218254262857728	'comp went great  # overwatch'	comp didn't go great, given the score.	low score
34	707214690200514561	don 't you just love sunny # italy ? ha 	the author hates the rainy italy.	rainy weather in italy
35	903489017450082305	'who could say no to that kind of email subscription ? '	nobody could say yes to that kind of spam email subscription.	spam email subscription
36	904371378203361282	'took this <user> .. dhs using r tax $ s wisely . '	dhs isn't using the tax $s wisely.	dhs wasting tax money
37	897656552034889728	<user> i found this article about dad . i 'm sure it 's fake . 	the author found this article about dad that isn't fake.	authenticity of article about dad
38	910907108056616960	'super crazy busy day at work today '	the author didn't have a busy day at work today, given he's playing guitar.	author playing guitar
39	922928946601250816	whoa , so much diversity here i don 't know where to start ! 	there's not much diversity in these dolls.	diversity in the dolls
40	865644609065459712	'such a shame to see the # cubs lineup struggling .  # mlb'	the author's glad to see cubs lineup not struggling, they have good average.	good average of cubs
